trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.5, 'e': 0.42741493194872754}",25,11,-70.56903047117218,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.42316208231774965}",25,6,26.6567654363119,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.4189515492476399}",25,15,-46.95376737124751,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.4147829116815823}",20,9,-14.589431873834526,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4106557527523465}",20,0,-39.27113079563587,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.4065696597406001}",20,0,24.174418816635537,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.4025242240336369}",20,10,-57.85758315407864,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.3985190410845152}",20,15,-2.5688207843558297,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39455371037160214}",25,16,-48.608141214961336,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.39062783535852214}",25,0,-50.016510146766365,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.3867410234545023}",20,7,-51.6987841240132,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.3828928859751131}",25,8,2.3437151490211354,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.3790830381033999}",20,0,-13.297055841954155,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.37531109885140057}",20,2,-115.80330360603745,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 3}",1
99,False,"{'a': 0.5, 'e': 0.37157669102204677}",25,15,-3.6043295222132463,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.36787944117144344}",25,13,19.82016092656245,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3642189795715244}",25,13,-21.1526627553866,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.36059494017307936}",20,0,2.572471123367496,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.3570069605691484}",20,12,2.151074986070287,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35345468195878116}",25,0,-3.1322972012981634,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.3499377491111564}",30,22,-28.344815347990334,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.3464558103300584}",30,21,-24.65322960658679,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
